Número,Nome,Estrelas,Idade (anos),Número de releases,Url
182,giantray/stackoverflow-java-top-qa,5154,7.58,0,https://github.com/giantray/stackoverflow-java-top-qa
183,shishan100/Java-Interview-Advanced,3846,3.68,0,https://github.com/shishan100/Java-Interview-Advanced
184,moquette-io/moquette,2091,8.45,8,https://github.com/moquette-io/moquette
185,cxxr/better-java,5760,8.86,0,https://github.com/cxxr/better-java
186,VerbalExpressions/JavaVerbalExpressions,2589,9.64,9,https://github.com/VerbalExpressions/JavaVerbalExpressions
187,searchbox-io/Jest,2120,10.82,0,https://github.com/searchbox-io/Jest
188,blueimp/JavaScript-Canvas-to-Blob,1459,11.09,0,https://github.com/blueimp/JavaScript-Canvas-to-Blob
189,WebDevSimplified/Vanilla-JavaScript-Calculator,449,3.93,0,https://github.com/WebDevSimplified/Vanilla-JavaScript-Calculator
190,CleverProgrammers/JavaScript-Course-by-Clever-Programmer-,2165,0.77,0,https://github.com/CleverProgrammers/JavaScript-Course-by-Clever-Programmer-
191,RongleXie/java-books-collections,4471,5.02,0,https://github.com/RongleXie/java-books-collections
192,dunwu/javacore,2701,5.57,0,https://github.com/dunwu/javacore
193,dromara/hutool,25670,8.92,129,https://github.com/dromara/hutool
194,0opslab/opslabJutil,847,7.76,5,https://github.com/0opslab/opslabJutil
195,shekhargulati/java8-the-missing-tutorial,1566,7.32,0,https://github.com/shekhargulati/java8-the-missing-tutorial
196,ChinaLHR/JavaQuarkBBS,848,5.63,0,https://github.com/ChinaLHR/JavaQuarkBBS
197,LinkedInLearning/javascript-essential-training-2832077,1272,2.41,0,https://github.com/LinkedInLearning/javascript-essential-training-2832077
198,wangdoc/javascript-tutorial,3582,5.23,0,https://github.com/wangdoc/javascript-tutorial
199,byhieg/JavaTutorial,632,6.21,0,https://github.com/byhieg/JavaTutorial
200,DiUS/java-faker,4026,11.78,0,https://github.com/DiUS/java-faker
201,gitblit-org/gitblit,2154,11.73,7,https://github.com/gitblit-org/gitblit
202,bcgit/bc-java,1892,9.79,0,https://github.com/bcgit/bc-java
203,jakesgordon/javascript-state-machine,8456,11.79,0,https://github.com/jakesgordon/javascript-state-machine
204,Vedenin/useful-java-links,5470,7.09,0,https://github.com/Vedenin/useful-java-links
205,javascript-tutorial/zh.javascript.info,7955,4.95,0,https://github.com/javascript-tutorial/zh.javascript.info
206,jacoco/jacoco,3554,10.68,44,https://github.com/jacoco/jacoco
207,libgdx/libgdx,21225,10.59,9,https://github.com/libgdx/libgdx
208,OpenFeign/feign,8679,9.72,28,https://github.com/OpenFeign/feign
209,gustavoguanabara/javascript,2470,3.01,0,https://github.com/gustavoguanabara/javascript
210,AlbertoOlla/esercizi-di-programmazione-javascript,1247,6.57,0,https://github.com/AlbertoOlla/esercizi-di-programmazione-javascript
211,javadevjournal/javadevjournal,380,4.93,0,https://github.com/javadevjournal/javadevjournal
212,chenjiabing666/JavaFamily,575,2.25,0,https://github.com/chenjiabing666/JavaFamily
213,JustinSDK/JavaSE6Tutorial,922,9.29,0,https://github.com/JustinSDK/JavaSE6Tutorial
214,ben-manes/caffeine,13299,8.25,65,https://github.com/ben-manes/caffeine
215,mongodb/mongo-java-driver,2535,14.16,130,https://github.com/mongodb/mongo-java-driver
216,iamshaunjp/modern-javascript,1128,4.1,0,https://github.com/iamshaunjp/modern-javascript
